Id,SalePrice
1461,125000
1462,110000
1463,192000
1464,184000
1465,189000
1466,185000
1467,173000
1468,174000
1469,173000
1470,167000
1471,181000
1472,106000
1473,106000
1474,148500
1475,155000
1476,395192
1477,227680
1478,315000
1479,320000
1480,315000
1481,225000
1482,202500
1483,225000
1484,192500
1485,190000
1486,230000
1487,240000
1488,232000
1489,248328
1490,220000
1491,155000
1492,80000
1493,142000
1494,250000
1495,260000
1496,328900
1497,151000
1498,151000
1499,147400
1500,165000
1501,168500
1502,207500
1503,229456
1504,250000
1505,227000
1506,142000
1507,155000
1508,170000
1509,190000
1510,143000
1511,140000
1512,135000
1513,158000
1514,110000
1515,139000
1516,143000
1517,148000
1518,110000
1519,227000
1520,143000
1521,142000
1522,160000
1523,135000
1524,135000
1525,167000
1526,125000
1527,110000
1528,105000
1529,166000
1530,160000
1531,139000
1532,100000
1533,110000
1534,115000
1535,143000
1536,143000
1537,100000
1538,140000
1539,117000
1540,80000
1541,128000
1542,117000
1543,128000
1544,100000
1545,128000
1546,132500
1547,128000
1548,119000
1549,132000
1550,128000
1551,102000
1552,135000
1553,141000
1554,132000
1555,167500
1556,98000
1557,140000
1558,110000
1559,88000
1560,139000
1561,135000
1562,130000
1563,132500
1564,187500
1565,154000
1566,155000
1567,102000
1568,215000
1569,170000
1570,154000
1571,110000
1572,129000
1573,203000
1574,112000
1575,180000
1576,290000
1577,227000
1578,135000
1579,152000
1580,231500
1581,190000
1582,125000
1583,203000
1584,174000
1585,131500
1586,140000
1587,112000
1588,156000
1589,125000
1590,125000
1591,108000
1592,167500
1593,139000
1594,90000
1595,108000
1596,210000
1597,145000
1598,173000
1599,235000
1600,187500
1601,100000
1602,128000
1603,110000
1604,392500
1605,210000
1606,135000
1607,135000
1608,220000
1609,220000
1610,178000
1611,110000
1612,147000
1613,179000
1614,91000
1615,97000
1616,88000
1617,88000
1618,129500
1619,155000
1620,174000
1621,155000
1622,128000
1623,210000
1624,210000
1625,135000
1626,139000
1627,225000
1628,215000
1629,168500
1630,286000
1631,187500
1632,236500
1633,168500
1634,192000
1635,173000
1636,174000
1637,155000
1638,170000
1639,141000
1640,197500
1641,176000
1642,241000
1643,176000
1644,254900
1645,197900
1646,197500
1647,197500
1648,110000
1649,135000
1650,110000
1651,120500
1652,100000
1653,106000
1654,155000
1655,148500
1656,148500
1657,155000
1658,148500
1659,147000
1660,160000
1661,350000
1662,325624
1663,315000
1664,555000
1665,306000
1666,326000
1667,412500
1668,320000
1669,280000
1670,320000
1671,285000
1672,325000
1673,215000
1674,250000
1675,194700
1676,185850
1677,185850
1678,320000
1679,325000
1680,277500
1681,319900
1682,220000
1683,236500
1684,162000
1685,190000
1686,192500
1687,190000
1688,230000
1689,230000
1690,188500
1691,173000
1692,225000
1693,190000
1694,173000
1695,178000
1696,214000
1697,178000
1698,290000
1699,232000
1700,290000
1701,173000
1702,232000
1703,232000
1704,227000
1705,227000
1706,555000
1707,250580
1708,227000
1709,250000
1710,227000
1711,227000
1712,185000
1713,249700
1714,173000
1715,250000
1716,178000
1717,227000
1718,141000
1719,215000
1720,232000
1721,155000
1722,179000
1723,159000
1724,203000
1725,290000
1726,201000
1727,179200
1728,193000
1729,140000
1730,90000
1731,144000
1732,108000
1733,135000
1734,125000
1735,197500
1736,139000
1737,215000
1738,210000
1739,174000
1740,199900
1741,199900
1742,168500
1743,165000
1744,149900
1745,170000
1746,187000
1747,207500
1748,176000
1749,143000
1750,100000
1751,173000
1752,167000
1753,110000
1754,180000
1755,148000
1756,110000
1757,135000
1758,160000
1759,160000
1760,141000
1761,139000
1762,140000
1763,158000
1764,139000
1765,135000
1766,160000
1767,155000
1768,139000
1769,159000
1770,135000
1771,139000
1772,170000
1773,139000
1774,135000
